gene_name	Adrenal	Aorta	Esophagus	Fat	Gastric	Liver	Lung	Pancreas	Psoas	Right_ventricle	Colon	Small_intestines
AC073343.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC099522.1	0.0	1.1615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADNP	5.96	3.6368	11.1616	8.3481	7.4128	6.6214	9.6726	3.9225	6.5786	6.7808	0.0	1.2607
ADNP2	1.603	1.3018	4.605	4.8124	2.1024	2.7113	5.4036	1.3381	2.1996	3.1365	0.0	0.0
AEBP2	5.9847	5.3272	10.79	6.5997	5.0583	3.7771	6.8002	2.6835	3.7447	4.2391	0.0	0.0
AFF1	3.3525	3.4215	5.7453	9.1548	2.7914	5.4983	8.7441	3.4056	65.77	31.8932	0.0	1.2612
AFF3	0.0	0.0	0.0	0.0	0.0	0.0	3.9566	0.0	0.0	0.0	0.0	0.0
AFF4	3.2475	3.5836	9.2158	9.1495	2.8087	5.8678	10.6566	2.9783	6.1536	4.2883	0.0	0.0
AHCTF1	4.2273	3.7254	6.8766	12.9803	3.1398	8.2657	17.1598	1.9127	7.1789	4.2443	0.0	0.0
AHR	4.7626	8.7014	6.2073	14.4382	4.0892	7.9849	23.2459	1.974	1.0121	3.6774	0.0	1.0841
AIRE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKNA	4.1812	3.6098	2.838	10.8108	3.1842	3.9614	24.0328	1.0449	0.0	1.5329	0.0	0.0
ALX1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALX3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALX4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANKZF1	15.3275	17.1659	12.4293	15.3686	13.1603	6.188	12.0481	18.8003	8.5938	7.4903	0.0	3.4157
AR	0.0	1.2013	0.0	3.9035	0.0	11.35	0.0	0.0	1.0432	1.2026	0.0	0.0
ARGFX	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGAP35	2.5847	2.7881	7.6236	7.9146	2.3959	14.2128	7.4729	2.3025	9.9121	13.4128	0.0	1.4106
ARID3A	1.318	0.0	2.89	10.2304	0.0	1.6228	22.476	1.8163	5.6508	4.4403	0.0	0.0
ARID5A	13.1168	54.6081	7.2809	44.6291	4.3603	13.3991	41.8089	5.2351	17.9531	27.5691	0.0	0.0
ARID5B	3.1541	7.0111	4.9201	34.0261	2.1232	1.0226	8.8755	1.0243	55.5125	3.6683	0.0	0.0
ARNT	8.0155	4.497	7.1519	13.8031	3.768	10.121	16.5427	3.5442	8.6722	7.2805	1.4385	1.7664
ARNT2	0.0	0.0	0.0	1.3144	0.0	0.0	3.6925	2.1023	2.1067	0.0	0.0	0.0
ARNTL	4.8262	2.6997	6.547	8.6331	3.1624	8.795	9.2642	2.3597	17.6477	5.5367	0.0	2.913
ARNTL2	0.0	0.0	22.3228	3.0616	2.5652	1.4438	5.6546	1.0323	0.0	0.0	0.0	0.0
ARX	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3654	2.3177	0.0	0.0	0.0
ASCL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASCL2	0.0	0.0	0.0	0.0	2.4866	0.0	1.6812	1.6535	0.0	0.0	0.0	0.0
ASCL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASCL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASH1L	1.2682	3.0292	4.4685	6.1903	1.3874	3.0488	5.6202	2.0981	5.2294	3.4343	0.0	0.0
ATF1	2.1053	2.273	7.705	8.4109	3.5904	7.054	11.5481	2.1659	14.2338	4.8151	1.6232	2.1887
ATF2	5.6154	4.5197	4.9019	9.1162	5.0152	8.6406	10.6103	3.5199	4.1958	5.2804	0.0	1.0802
ATF3	6.5387	13.113	3.5733	37.7225	8.3223	3.9803	15.1034	5.4955	16.7567	24.6525	1.7891	2.0416
ATF4	350.2936	161.4592	313.1719	427.3686	365.1774	184.5739	318.24	110.9729	958.8104	312.3766	25.3777	55.6602
ATF5	21.483	2.6425	10.9007	45.7466	8.2672	1613.8103	23.4371	3.6676	14.9793	13.2516	0.0	4.3801
ATF6	1.3561	1.5914	5.1002	12.4501	1.9008	8.2616	11.4416	1.8783	6.019	6.5849	0.0	0.0
ATF6B	22.2265	23.6223	39.2337	41.9849	19.6047	27.3863	60.3033	15.5477	11.0357	15.519	1.4187	1.5069
ATF7	5.098	5.5409	11.7412	14.3846	5.8921	3.7484	11.891	2.9474	12.615	7.8083	0.0	1.2689
ATOH1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7271	1.4772
ATOH7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATOH8	2.9969	16.1675	4.3754	13.9763	8.1665	22.636	27.672	3.0917	43.444	28.4999	0.0	0.0
ATXN7	1.8629	1.3985	2.9814	6.1686	1.1143	2.8455	4.9855	2.1263	2.648	1.4962	0.0	0.0
BACH1	1.8385	52.0186	7.2784	9.1127	2.3091	6.0409	22.9967	0.0	10.6045	1.9669	0.0	72.7731
BACH2	0.0	0.0	0.0	1.5266	0.0	3.3897	1.1109	0.0	0.0	0.0	0.0	0.0
BARHL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BARHL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BARX1	0.0	0.0	1.2084	3.8803	63.0158	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BARX2	0.0	0.0	84.0345	2.4296	12.4998	0.0	0.0	2.7668	0.0	0.0	0.0	2.4505
BATF	2.6329	0.0	1.6035	4.551	3.6735	0.0	46.6713	0.0	0.0	1.0255	0.0	0.0
BATF2	1.0391	0.0	0.0	5.3331	4.2347	2.3767	4.4423	0.0	2.241	1.0346	0.0	1.0988
BATF3	2.3299	1.6084	1.2091	4.8023	1.784	0.0	13.6274	0.0	0.0	1.8174	0.0	0.0
BBX	4.954	3.0242	3.3906	6.3859	2.0565	4.9184	6.7234	1.8533	2.3221	2.7951	0.0	0.0
BCL11A	1.301	0.0	8.1083	2.4966	5.9004	0.0	1.619	0.0	0.0	3.5947	0.0	0.0
BCL11B	0.0	0.0	1.7255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BCL6	26.2702	13.796	21.5653	126.1598	15.1867	14.523	90.5335	9.9673	99.9948	22.7345	0.0	0.0
BCL6B	2.8431	0.0	1.5349	12.5688	0.0	1.3724	9.8516	0.0	2.7168	5.8497	0.0	0.0
BCLAF1	12.21	8.7156	22.3978	19.3787	7.1379	11.8236	26.225	7.4507	40.29	11.3821	1.9228	2.012
BDP1	1.9038	1.8904	3.9284	3.2349	2.503	2.1463	3.8425	1.7838	3.5044	3.0106	0.0	0.0
BHLHA15	0.0	0.0	0.0	393.3539	0.0	10.8088	3.0786	9.838	0.0	0.0	0.0	0.0
