gene_name	Adrenal	Aorta	Esophagus	Fat	Gastric	Liver	Lung	Pancreas	Psoas	Right_ventricle	Colon	Small_intestines
AHCTF1	4.2273	3.7254	6.8766	12.9803	3.1398	8.2657	17.1598	1.9127	7.1789	4.2443	0.0	0.0
AR	0.0	1.2013	0.0	3.9035	0.0	11.35	0.0	0.0	1.0432	1.2026	0.0	0.0
ARGFX	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGAP35	2.5847	2.7881	7.6236	7.9146	2.3959	14.2128	7.4729	2.3025	9.9121	13.4128	0.0	1.4106
ARID3A	1.318	0.0	2.89	10.2304	0.0	1.6228	22.476	1.8163	5.6508	4.4403	0.0	0.0
ARID5A	13.1168	54.6081	7.2809	44.6291	4.3603	13.3991	41.8089	5.2351	17.9531	27.5691	0.0	0.0
ARID5B	3.1541	7.0111	4.9201	34.0261	2.1232	1.0226	8.8755	1.0243	55.5125	3.6683	0.0	0.0
ARNT	8.0155	4.497	7.1519	13.8031	3.768	10.121	16.5427	3.5442	8.6722	7.2805	1.4385	1.7664
ARNT2	0.0	0.0	0.0	1.3144	0.0	0.0	3.6925	2.1023	2.1067	0.0	0.0	0.0
ARNTL	4.8262	2.6997	6.547	8.6331	3.1624	8.795	9.2642	2.3597	17.6477	5.5367	0.0	2.913
ARNTL2	0.0	0.0	22.3228	3.0616	2.5652	1.4438	5.6546	1.0323	0.0	0.0	0.0	0.0
ARX	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3654	2.3177	0.0	0.0	0.0
ATF1	2.1053	2.273	7.705	8.4109	3.5904	7.054	11.5481	2.1659	14.2338	4.8151	1.6232	2.1887
ATF2	5.6154	4.5197	4.9019	9.1162	5.0152	8.6406	10.6103	3.5199	4.1958	5.2804	0.0	1.0802
ATF3	6.5387	13.113	3.5733	37.7225	8.3223	3.9803	15.1034	5.4955	16.7567	24.6525	1.7891	2.0416
ATF4	350.2936	161.4592	313.1719	427.3686	365.1774	184.5739	318.24	110.9729	958.8104	312.3766	25.3777	55.6602
ATF5	21.483	2.6425	10.9007	45.7466	8.2672	1613.8103	23.4371	3.6676	14.9793	13.2516	0.0	4.3801
ATF6	1.3561	1.5914	5.1002	12.4501	1.9008	8.2616	11.4416	1.8783	6.019	6.5849	0.0	0.0
ATF6B	22.2265	23.6223	39.2337	41.9849	19.6047	27.3863	60.3033	15.5477	11.0357	15.519	1.4187	1.5069
ATF7	5.098	5.5409	11.7412	14.3846	5.8921	3.7484	11.891	2.9474	12.615	7.8083	0.0	1.2689
ATOH1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7271	1.4772
ATOH7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATOH8	2.9969	16.1675	4.3754	13.9763	8.1665	22.636	27.672	3.0917	43.444	28.4999	0.0	0.0
ATXN7	1.8629	1.3985	2.9814	6.1686	1.1143	2.8455	4.9855	2.1263	2.648	1.4962	0.0	0.0
BARHL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BARHL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BARX1	0.0	0.0	1.2084	3.8803	63.0158	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BARX2	0.0	0.0	84.0345	2.4296	12.4998	0.0	0.0	2.7668	0.0	0.0	0.0	2.4505
BATF	2.6329	0.0	1.6035	4.551	3.6735	0.0	46.6713	0.0	0.0	1.0255	0.0	0.0
BATF2	1.0391	0.0	0.0	5.3331	4.2347	2.3767	4.4423	0.0	2.241	1.0346	0.0	1.0988
BATF3	2.3299	1.6084	1.2091	4.8023	1.784	0.0	13.6274	0.0	0.0	1.8174	0.0	0.0
BCL6	26.2702	13.796	21.5653	126.1598	15.1867	14.523	90.5335	9.9673	99.9948	22.7345	0.0	0.0
BCL6B	2.8431	0.0	1.5349	12.5688	0.0	1.3724	9.8516	0.0	2.7168	5.8497	0.0	0.0
BHLHE40	17.1905	8.1276	138.0126	74.3366	15.9813	14.6735	57.3442	11.1106	41.8743	6.5669	1.3357	0.0
BPTF	7.0756	4.4317	10.7806	9.3144	4.9418	7.1286	10.3334	5.7471	7.7021	6.2651	0.0	1.5206
BRCA1	0.0	0.0	2.4994	0.0	1.1165	1.144	1.9365	0.0	1.3409	1.1567	0.0	0.0
CAMTA1	53.9413	62.8145	56.1867	37.5639	79.4439	47.9569	44.3433	15.1883	91.4668	148.5444	11.8206	19.8641
CAMTA2	32.4104	14.2957	16.3121	28.8642	15.5355	9.7907	20.9622	28.278	20.375	26.8666	1.6012	7.2667
CARHSP1	58.2802	13.7144	154.8343	62.1549	61.7998	87.3893	71.3794	18.1303	13.7955	26.466	5.6961	9.6283
CDX2	0.0	0.0	0.0	2.6756	0.0	0.0	0.0	2.2104	0.0	0.0	9.8249	9.78
CEBPA	0.0	0.0	0.0	24.6285	0.0	7.005	0.0	0.0	0.0	0.0	0.0	0.0
CEBPB	30.5252	11.1286	17.3293	152.728	20.7029	31.1703	159.898	4.8889	99.1688	34.2888	1.1933	1.9433
CENPT	46.4395	33.2305	27.7211	34.9306	24.5244	9.5588	19.6801	35.7901	15.8763	21.8549	0.0	8.7579
CNOT3	15.5337	6.6098	13.6326	13.6417	7.8608	8.6372	16.9917	8.9332	9.3679	8.9482	0.0	2.3626
CNTF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2559	0.0	0.0	0.0
CREB1	1.1045	2.2211	5.9746	9.2629	2.555	4.9646	13.5825	1.8091	4.6343	2.6975	0.0	2.4837
CRX	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTCF	5.0398	3.0387	9.7531	7.8036	5.1076	6.1564	8.8918	4.3991	8.7433	6.3394	1.1271	1.8529
CTCFL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2173L22.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDIT3	34.0367	8.5372	22.7857	22.3818	30.7115	15.6847	40.0138	14.4422	137.2416	69.8369	2.089	8.151
DMRT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMRT2	0.0	0.0	0.0	5.55	0.0	0.0	0.0	0.0	1.362	0.0	0.0	0.0
DMRT3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMRTA1	0.0	0.0	1.1204	0.0	0.0	3.4226	0.0	0.0	0.0	0.0	0.0	0.0
DMRTA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMRTB1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMRTC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMTF1	15.7692	11.0697	12.815	14.2171	11.2295	4.8834	16.1749	11.7828	9.2498	6.5984	0.0	2.4467
E2F1	2.2133	0.0	4.7125	0.0	2.06	1.2349	2.6072	0.0	0.0	0.0	0.0	0.0
E2F3	1.8413	1.7417	2.5769	2.0302	1.1609	1.716	8.6129	0.0	4.2107	1.7698	0.0	0.0
E2F4	24.4591	10.0289	37.0578	38.7859	14.3396	16.1395	53.8658	15.0415	65.0513	24.2996	2.9186	5.7581
E2F6	2.7921	1.8959	4.0186	6.9877	2.4743	5.9781	7.9624	2.7728	19.4098	5.2133	0.0	0.0
EBF1	2.6523	5.7612	0.0	33.9637	0.0	0.0	0.0	0.0	1.1942	2.0728	0.0	0.0
EGR1	15.8627	73.2297	35.7815	422.9348	13.7044	17.3539	83.6736	12.1477	116.4835	10.1079	4.2416	0.0
EGR2	0.0	0.0	0.0	5.59	0.0	0.0	1.7921	0.0	0.0	0.0	0.0	0.0
