	names	gc	length
0	chr1:233918-234794	0.4440639269406393	876
1	chr1:257380-258671	0.47947327652982186	1291
2	chr1:304705-305532	0.5078597339782346	827
3	chr1:307618-310496	0.43745656706045866	2878
4	chr1:314779-317846	0.4812520378219759	3067
5	chr1:327986-328865	0.46871444823663255	879
6	chr1:328907-330273	0.5263543191800878	1366
7	chr1:337534-339136	0.4431960049937578	1602
8	chr1:339365-341339	0.5035460992907801	1974
9	chr1:341341-344024	0.4349608647036899	2683
10	chr1:344250-344952	0.47863247863247865	702
11	chr1:348100-352605	0.44239733629300776	4505
12	chr1:378938-379897	0.470281543274244	959
13	chr1:379902-380723	0.4713763702801462	821
14	chr1:382356-383499	0.4881889763779528	1143
15	chr1:516332-518352	0.49653465346534653	2020
16	chr1:676834-679227	0.5361470956957793	2393
17	chr1:679566-681958	0.5346989966555183	2392
18	chr1:810765-812147	0.5340086830680174	1382
19	chr1:819129-819908	0.46598202824133506	779
20	chr1:819776-820855	0.4735866543095459	1079
21	chr1:902796-904626	0.42185792349726775	1830
22	chr1:907108-910267	0.4586894586894587	3159
23	chr1:964241-965660	0.5229034531360113	1419
24	chr1:976585-978613	0.5029585798816568	2028
25	chr1:1022079-1023181	0.40834845735027225	1102
26	chr1:1024206-1025034	0.5157004830917874	828
27	chr1:1035869-1037863	0.4272818455366098	1994
28	chr1:1084133-1086121	0.42303822937625757	1988
29	chr1:1133086-1133644	0.3888888888888889	558
30	chr1:1155754-1157237	0.5003371544167229	1483
31	chr1:1180095-1181318	0.4488961569910057	1223
32	chr1:1226791-1227966	0.4229787234042553	1175
33	chr1:1310826-1311830	0.4153386454183267	1004
34	chr1:1311860-1313413	0.4616870573084353	1553
35	chr1:1357043-1360106	0.45119164218086844	3063
36	chr1:1376523-1380301	0.4737956590788777	3778
37	chr1:1392864-1397093	0.41901158666351385	4229
38	chr1:1396981-1397968	0.47922998986828774	987
39	chr1:1400629-1402588	0.5446656457376212	1959
40	chr1:1402183-1403602	0.44256518675123324	1419
41	chr1:1417831-1419506	0.5522388059701493	1675
42	chr1:1420053-1422756	0.45172031076581576	2703
43	chr1:1424728-1426897	0.44536652835408025	2169
44	chr1:1428114-1429009	0.535195530726257	895
45	chr1:1431535-1435101	0.4276500280426248	3566
46	chr1:1436194-1438149	0.5089514066496164	1955
47	chr1:1441842-1446415	0.4646840148698885	4573
48	chr1:1446107-1447125	0.3929273084479371	1018
49	chr1:1447258-1452440	0.4432651485912775	5182
50	chr1:1466784-1467829	0.5023923444976076	1045
51	chr1:1483113-1484791	0.4171632896305125	1678
52	chr1:1498727-1499673	0.4080338266384778	946
53	chr1:1515943-1519129	0.42969240426867544	3186
54	chr1:1519368-1520516	0.44076655052264807	1148
55	chr1:1520894-1524521	0.4491315136476427	3627
56	chr1:1530267-1532797	0.4474308300395257	2530
57	chr1:1542321-1544401	0.47596153846153844	2080
58	chr1:1548766-1549725	0.4045881126173097	959
59	chr1:1553244-1555528	0.4404553415061296	2284
60	chr1:1561369-1562571	0.5149750415973378	1202
61	chr1:1562470-1563256	0.4961832061068702	786
62	chr1:1568362-1574667	0.5103885804916732	6305
63	chr1:1604398-1606189	0.40982691233947516	1791
64	chr1:1635363-1636429	0.5347091932457786	1066
65	chr1:1641739-1642681	0.440552016985138	942
66	chr1:1653726-1654724	0.44488977955911824	998
67	chr1:1655670-1657322	0.5024213075060533	1652
68	chr1:2045816-2048207	0.506482643245504	2391
69	chr1:2054432-2055544	0.4172661870503597	1112
70	chr1:2056260-2057582	0.3888048411497731	1322
71	chr1:2057325-2059738	0.37588064649813513	2413
72	chr1:2070107-2073104	0.42742742742742745	2997
73	chr1:2126051-2127933	0.44155154091392135	1882
74	chr1:2229242-2231112	0.5625668449197861	1870
75	chr1:2248035-2249112	0.4809656453110492	1077
76	chr1:2274660-2275295	0.45511811023622045	635
77	chr1:2299049-2299968	0.43307943416757344	919
78	chr1:2299976-2301183	0.48135874067937034	1207
79	chr1:2519056-2520008	0.5441176470588235	952
80	chr1:2915057-2915660	0.5787728026533997	603
81	chr1:3126844-3128552	0.4496487119437939	1708
82	chr1:3139848-3142266	0.45822994210090984	2418
83	chr1:3141701-3143480	0.41596402473299604	1779
84	chr1:3150975-3152337	0.47723935389133626	1362
85	chr1:3184975-3185831	0.4147196261682243	856
86	chr1:3185755-3186387	0.41139240506329117	632
87	chr1:3191515-3195818	0.44736230536834765	4303
88	chr1:3555475-3556747	0.46855345911949686	1272
89	chr1:3602017-3603934	0.47991653625456443	1917
90	chr1:4738791-4739991	0.4675	1200
91	chr1:5629447-5632406	0.4285231497127408	2959
92	chr1:6157396-6160128	0.4633967789165447	2732
93	chr1:6176758-6179930	0.430327868852459	3172
94	chr1:6277441-6278387	0.41331923890063427	946
95	chr1:6329131-6330856	0.36695652173913046	1725
96	chr1:6447861-6448780	0.4428726877040261	919
97	chr1:6457624-6459276	0.44975786924939465	1652
98	chr1:6551596-6552742	0.39790575916230364	1146
99	chr1:6630703-6632435	0.3648960739030023	1732
